ID#	Ra(deg)	Dec(deg)	Extinction	Magnetic_Field(uG)	TotalUpperBUncertainty	TotalLowerBUncertainty
161	53.27499000000002	30.879070000000002	3.7426960468292236	22.34892236289227	42	38
162	53.28603000000001	30.84678	2.2195489406585693	205.46009047146703	95	123
163	53.32389000000001	30.7891	2.908586263656616	-3.405667625237081	64	64
164	53.34784000000002	31.835990000000002	1.05868399143219	566.2346332821579	1552	400
165	53.37714000000002	30.10605	1.306583285331726	-31.001525794353032	122	164
166	53.37786000000001	31.29963	10.369733810424805	-72.4640249991358	34	34
167	53.46216000000001	30.384009999999996	1.8878221511840816	-68.53825689056711	98	467
168	53.46505000000001	30.520220000000002	1.6913213729858398	106.98262761788608	148	98
169	53.47305000000002	31.22038	4.282991886138916	-16.648622238129267	46	48
170	53.48111000000002	29.800990000000002	0.9374179840087892	-504.44528152162377	408	476
171	53.48962	30.3951	1.5256773233413696	-43.40741900663652	112	238
172	53.50767000000001	31.31107	6.173189640045166	-35.773745895806044	29	30
173	53.52233000000002	30.50256	1.141294002532959	-57.174107097278565	162	163
174	53.54593000000001	30.385759999999998	1.5583436489105225	-246.6582883271621	127	1244
175	53.54906	31.006859999999996	2.908069610595703	-63.015347462147325	46	74
176	53.56592000000001	30.74725	1.3085126876831057	489.8998805607837	1852	271
177	53.57104000000001	31.20293	4.085564613342285	-55.05826560688196	32	43
178	53.57778000000002	30.85472	1.5833051204681396	-201.43184779208661	133	1199
179	53.58024000000002	30.85073	1.5833051204681396	-198.57447038668442	131	1182
180	53.668940000000006	30.61526	1.1944154500961304	272.85253757637014	255	257
181	53.703100000000006	31.11464	2.5425045490264893	36.073944443349006	53	54
182	53.73774000000002	30.82371	2.125122547149658	102.62775671263569	76	72
183	53.77211000000001	30.78523	2.043807983398437	-84.17381531337274	67	68
184	53.778650000000006	30.78497	2.043807983398437	-109.13055386070248	71	74
187	53.80057000000001	30.78473	1.699633240699768	61.75287273221293	78	82
188	53.86513000000002	30.398870000000002	0.8503050804138184	195.74544076328118	378	299
189	53.87660000000001	30.54004	2.11026930809021	-90.69175396206604	58	104
190	53.87653000000002	30.77832	2.2080066204071045	54.61877306501349	85	54
191	53.87685000000001	30.62465	1.5525133609771729	-134.39597536835413	90	91
192	53.88812	31.57524	1.6487064361572266	168.3033508896447	109	109
193	53.89059000000002	31.57129	1.6487064361572266	145.7808083711176	103	103
194	53.928700000000006	30.32017	1.7425466775894165	-43.48919238705206	88	313
195	54.20081999999999	29.97743	1.2098981142044067	-201.90489164290267	161	756
196	54.31645000000002	31.24935	3.915883779525757	184.44169419357846	58	43
200	54.45766999999999	31.25416	2.422832727432251	358.558457582216	52	110
201	54.46612	30.93365	3.08431077003479	83.15771616039704	77	38
202	54.50125000000001	31.10292	2.4473440647125244	158.3978822497959	113	59
203	54.61360000000001	30.88435	2.3842902183532715	153.7127674305737	99	76
204	54.92383000000002	30.848159999999996	1.7142527103424072	301.24370545137725	225	145
