raHours	raMins	raSecs	raErrSecs	decDegs	decArcmins	decArcsecs	decErrArcsecs	longitudeDegs	latitudeDegs	nvssStokesIs	stokesIErrs	AvePeakPIs	PIErrs	polarizationPercents	mErrPercents	rotationMeasures	RMErrs
3.0	24.0	9.528000000002947	1.0	30.0	6.0	7.452000000004375	1.0	158.18987447387687	-22.119918647493588	0.032170000000000004	3.351e-05	0.000903977	3.351e-05	0.0281	0.01	56.46	0.79
3.0	24.0	11.042400000003596	1.0	30.0	6.0	2.7000000000052182	1.0	158.19546166629812	-22.11773865246178	0.04085	3.984000000000001e-05	0.001074355	3.984000000000001e-05	0.0263	0.01	53.28	0.66
3.0	24.0	11.095200000002878	1.0	31.0	5.0	28.896000000005984	1.0	157.5640842628706	-21.31944849557909	0.09523	4.332e-05	0.0008856390000000002	4.332e-05	0.0093	0.01	70.85	0.79
3.0	24.0	12.105600000003419	1.0	29.0	22.0	15.887999999997078	1.0	158.6685782993459	-22.701800347325722	0.00605	3.763e-05	0.000434995	3.763e-05	0.0719	0.01	15.85	1.74
3.0	24.0	15.261600000001819	1.0	29.0	34.0	51.31199999999637	1.0	158.54301178247457	-22.52650568360032	0.00989	3.1440000000000004e-05	0.0003164800000000001	3.1440000000000004e-05	0.032	0.01	22.61	2.23
3.0	24.0	18.12000000000168	1.0	30.0	42.0	15.515999999998375	1.0	157.83182426800948	-21.616695387998835	0.02912	5.073e-05	0.001147328	5.073e-05	0.0394	0.01	51.28	0.63
3.0	24.0	19.723200000001953	1.0	30.0	42.0	5.795999999995445	1.0	157.83852233504732	-21.615469143234638	0.03986	5.78e-05	0.00157447	5.78e-05	0.0395	0.01	52.65	0.46
3.0	24.0	23.536800000002533	1.0	30.0	52.0	34.96800000000377	1.0	157.7390958328551	-21.46654646884004	0.0099	2.663e-05	0.00035442000000000004	2.663e-05	0.0358	0.01	39.68	1.93
3.0	24.0	24.573600000002074	1.0	29.0	49.0	41.19599999999565	1.0	158.41301191791348	-22.30788172449804	0.00182	3.214e-05	0.000297024	3.214e-05	0.1632	0.01	72.16	2.74
3.0	24.0	25.36320000000202	1.0	30.0	52.0	23.124000000004514	1.0	157.7468451744237	-21.46533170922069	0.01487	3.137e-05	0.0004461	3.137e-05	0.03	0.01	42.2	1.53
3.0	24.0	33.972000000003106	1.0	31.0	41.0	0.09600000000148157	1.0	157.2600661128713	-20.793530050664828	0.01555	5.093e-05	0.001236225	5.093e-05	0.0795	0.01	27.21	0.58
3.0	24.0	39.33600000000169	1.0	31.0	42.0	3.707999999997753	1.0	157.26534211960316	-20.768043748701075	0.0109	4.172e-05	0.0005984100000000001	4.172e-05	0.0549	0.01	29.68	1.21
3.0	24.0	40.48320000000217	1.0	31.0	28.0	44.68799999999903	1.0	157.4090777729339	-20.944784302250408	0.00982	3.4689999999999995e-05	0.0005126040000000001	3.4689999999999995e-05	0.0522	0.01	45.37	1.37
3.0	24.0	40.572000000001786	1.0	30.0	6.0	34.488000000004035	1.0	158.282154963206	-22.047350453579725	0.00217	2.473e-05	0.00032289600000000003	2.473e-05	0.14880000000000002	0.01	37.6	1.93
3.0	24.0	41.93280000000314	1.0	28.0	44.0	32.49600000000527	1.0	159.17148186857642	-23.14059762581521	0.00298	2.723e-05	0.00046637	2.723e-05	0.1565	0.01	35.52	1.51
3.0	24.0	46.21920000000287	1.0	29.0	59.0	19.21199999999658	1.0	158.37752786787485	-22.132347156846237	0.00534	4.74e-05	0.001378254	4.74e-05	0.2581	0.01	36.41	0.49
3.0	24.0	46.49520000000308	1.0	30.0	49.0	43.607999999993865	1.0	157.84048447160714	-21.456232184154565	0.01004	3.393e-05	0.00034035599999999994	3.393e-05	0.0339	0.01	51.54	2.04
3.0	24.0	48.304800000001926	1.0	30.0	49.0	41.66400000000351	1.0	157.84642933608905	-21.452826431394172	0.01456	3.786e-05	0.0005459999999999999	3.786e-05	0.0375	0.01	52.37	1.28
3.0	24.0	55.02960000000186	1.0	28.0	42.0	16.919999999996374	1.0	159.23768988573937	-23.141980191114783	0.056889999999999996	7.547e-05	0.0032370410000000004	7.547e-05	0.05690000000000001	0.01	-41.47	0.22
3.0	24.0	58.17120000000124	1.0	29.0	22.0	9.731999999999914	1.0	158.81502153519446	-22.603222584482676	0.00042	2.141e-05	0.000209664	2.141e-05	0.4992	0.01	68.53	3.71
3.0	24.0	59.74800000000272	1.0	28.0	45.0	12.132000000001142	1.0	159.22088014568178	-23.092715875079797	0.028319999999999998	2.888e-05	0.00030302400000000005	2.888e-05	0.0107	0.01	43.32	2.35
3.0	25.0	1.4088000000029408	1.0	32.0	10.0	35.65199999999322	1.0	157.03314088792078	-20.337976387765785	0.00487	3.214e-05	0.00041200200000000007	3.214e-05	0.08460000000000001	0.01	19.69	1.68
3.0	25.0	10.123200000002797	1.0	31.0	28.0	36.33599999999547	1.0	157.50146753457375	-20.88436242771317	0.23049	0.00064529	0.027059526	0.00064529	0.1174	0.01	28.37	0.03
3.0	25.0	11.683200000001932	1.0	28.0	44.0	3.2639999999992138	1.0	159.27125940072975	-23.0817927985883	0.00176	3.9e-05	0.00034566400000000003	3.9e-05	0.1964	0.01	11.13	2.08
3.0	25.0	12.076800000002383	1.0	28.0	59.0	13.344000000001301	1.0	159.10747712277472	-22.878878960015196	0.00234	2.481e-05	0.00022183200000000004	2.481e-05	0.0948	0.01	43.83	2.97
3.0	25.0	15.062400000001047	1.0	29.0	5.0	31.05600000000095	1.0	159.04855913021615	-22.788447167882566	0.0005600000000000001	2.23e-05	0.000195664	2.23e-05	0.3494	0.01	62.33	2.77
3.0	25.0	16.574400000002857	1.0	29.0	49.0	53.399999999994066	1.0	158.57380281086694	-22.193013659940032	0.00175	3.137e-05	0.00035875	3.137e-05	0.205	0.01	46.18	2.97
3.0	25.0	17.481600000001762	1.0	31.0	17.0	11.867999999995787	1.0	157.64469081671308	-21.022002783565647	0.01135	3.095e-05	0.00035866	3.095e-05	0.0316	0.01	27.2	1.92
3.0	25.0	35.2944000000025	1.0	29.0	1.0	34.75199999999404	1.0	159.1552327035341	-22.796635923049735	0.00813	3.529e-05	0.001087794	3.529e-05	0.1338	0.01	24.6	0.64
3.0	25.0	42.290400000001966	1.0	30.0	6.0	22.247999999994192	1.0	158.476866585058	-21.917344236752392	0.01444	3.476e-05	0.000691676	3.476e-05	0.0479	0.01	28.29	1.02
3.0	25.0	42.38400000000225	1.0	29.0	9.0	59.256000000002594	1.0	159.0862160325317	-22.669146698022477	0.00461	3.001e-05	0.000485433	3.001e-05	0.1053	0.01	22.08	1.53
3.0	25.0	44.16960000000394	1.0	31.0	58.0	51.095999999999435	1.0	157.28641195884344	-20.406684679418774	0.00512	3.491e-05	0.00028313599999999997	3.491e-05	0.0553	0.01	16.71	2.68
3.0	25.0	50.827200000002364	1.0	29.0	8.0	45.49199999999416	1.0	159.1261704358059	-22.66703481683879	0.006540000000000001	3.706e-05	0.000963342	3.706e-05	0.1473	0.01	14.55	0.74
3.0	25.0	59.07360000000246	1.0	31.0	29.0	7.0079999999981615	1.0	157.64587972945438	-20.774318476713773	0.00496	4.201e-05	0.000393328	4.201e-05	0.0793	0.01	23.76	1.79
3.0	26.0	0.5496000000026413	1.0	28.0	45.0	18.46800000000428	1.0	159.41239015609716	-22.957561197864305	0.01146	3.029e-05	0.0002784780000000001	3.029e-05	0.0243	0.01	26.0	2.53
3.0	26.0	4.382400000002703	1.0	32.0	10.0	13.368000000005507	1.0	157.2280371133655	-20.211714210352756	0.00919	5.281e-05	0.0005054500000000001	5.281e-05	0.055	0.01	68.29	1.52
3.0	26.0	5.637600000002293	1.0	28.0	58.0	6.275999999995179	1.0	159.2888116103407	-22.776267192772604	0.0041	3.213000000000001e-05	0.00030462999999999985	3.213000000000001e-05	0.07429999999999999	0.01	27.5	2.37
3.0	26.0	7.85760000000245	1.0	30.0	10.0	29.244000000005602	1.0	158.51214062067643	-21.807239942818686	0.0065	3.081e-05	0.0005772	3.081e-05	0.0888	0.01	24.15	1.25
3.0	26.0	17.860800000003394	1.0	31.0	27.0	23.83200000000329	1.0	157.72151079513893	-20.757644918877627	0.02384	3.715e-05	0.0006842080000000001	3.715e-05	0.0287	0.01	32.2	1.05
3.0	26.0	19.300800000001747	1.0	31.0	27.0	17.67600000000613	1.0	157.72699738171352	-20.75597190701153	0.029930000000000002	4.049e-05	0.000909872	4.049e-05	0.0304	0.01	33.88	0.79
3.0	26.0	20.188800000002654	1.0	29.0	5.0	3.552000000006217	1.0	159.2588604969766	-22.65183904825137	0.002	2.9760000000000006e-05	0.00035820000000000003	2.9760000000000006e-05	0.1791	0.01	34.07	1.97
3.0	26.0	21.208800000001347	1.0	29.0	4.0	57.57600000000224	1.0	159.26315530066574	-22.650922090225663	0.00186	2.898e-05	0.000261516	2.898e-05	0.1406	0.01	37.53	2.6
3.0	26.0	22.63680000000271	1.0	29.0	21.0	47.9520000000059	1.0	159.08444307665673	-22.42387370567345	0.00595	3.207e-05	0.0005277649999999999	3.207e-05	0.08869999999999999	0.01	34.21	1.38
3.0	26.0	31.56720000000249	1.0	28.0	46.0	28.740000000004216	1.0	159.49759138310526	-22.87355256155063	0.00251	3.623e-05	0.00034487399999999995	3.623e-05	0.1374	0.01	30.23	2.29
3.0	27.0	7.504800000002376	1.0	29.0	48.0	55.25999999999527	1.0	158.93032912168124	-21.965182226539923	0.00466	3.349e-05	0.0005116680000000001	3.349e-05	0.1098	0.01	15.28	1.54
3.0	27.0	10.864800000003711	1.0	29.0	1.0	21.396000000000868	1.0	159.45856114745288	-22.589409015878744	0.07689	0.00010932	0.004298151	0.00010932	0.0559	0.01	20.55	0.17
3.0	27.0	12.962400000002745	1.0	29.0	42.0	23.363999999995432	1.0	159.018135045432	-22.040098784471244	0.01725	3.361e-05	0.00027427500000000004	3.361e-05	0.0159	0.01	41.14	2.6
3.0	27.0	16.08720000000318	1.0	29.0	54.0	26.963999999997267	1.0	158.89711373215724	-21.872975852175266	0.03126	3.3409999999999994e-05	0.000925296	3.3409999999999994e-05	0.0296	0.01	26.59	0.77
3.0	27.0	20.306400000001194	1.0	31.0	48.0	13.572000000000346	1.0	157.69044291570728	-20.346857828122577	0.005370000000000001	3.2200000000000003e-05	0.0004983359999999999	3.2200000000000003e-05	0.0928	0.01	35.61	1.39
3.0	27.0	20.436000000001822	1.0	31.0	48.0	30.52799999999792	1.0	157.68783642444617	-20.34280540950137	0.0061	3.677e-05	0.0006667299999999999	3.677e-05	0.1093	0.01	37.35	1.04
3.0	27.0	21.92640000000232	1.0	31.0	48.0	15.264000000000234	1.0	157.6950515475802	-20.343055659393137	0.006889999999999999	3.16e-05	0.000418912	3.16e-05	0.0608	0.01	33.1	1.74
