ID,RA_deg,Dec_deg,Av_mag,RM_obs_rad_m2,RM_err_rad_m2,B_parallel_uG,B_upper_err_uG,B_lower_err_uG
88,51.84136,31.804240000000004,2.091397762298584,33.099133,1.7370801,13.130768802523384,68,110
89,51.84522000000001,31.16793,2.87424635887146,51.124153,2.8528917000000003,117.95102802582701,175,117
90,51.87394000000001,30.24705,15.614900588989258,34.380287,0.42427173,11.09070299698411,201,25
91,51.91465000000001,31.40258,2.8716089725494385,29.342117,0.40980527,-13.331716233698078,103,41
92,51.92582000000001,30.19466,9.586883544921877,32.506440000000005,0.35178503,3.8568639748425495,61,26
93,51.93425000000001,30.94952,1.9695948362350464,50.748184,1.5402303999999998,176.2116214366255,154,175
94,51.93958000000002,29.066029999999998,2.543134450912476,7.3921800000000015,0.61656773,-162.96398238618602,162,1205
95,52.01503,30.97761,2.729243755340576,44.59000800000001,2.8490808,82.20291636431239,71,61
98,52.09405000000001,29.001659999999998,2.623230695724488,9.5767355,1.2445393,-144.70945715170348,48,1225
99,52.09914000000002,29.005190000000002,2.623230695724488,4.446896,1.409529,-178.48960242579625,177,180
100,52.10475000000002,30.71353,2.8437857627868652,44.256733,1.9667774,76.58281046134725,146,53
101,52.11130000000002,29.018140000000002,2.623230695724488,5.0181336,2.4309118,-174.7279858851571,56,186
102,52.11468000000001,30.8918,3.806918621063232,58.283092,2.6672022,129.30326259087664,52,128
103,52.12113000000002,28.981509999999997,2.0997552871704097,37.412426,1.453107,49.488819114603636,75,476
104,52.12625000000001,30.8459,5.156177043914795,51.359005,0.28631422,83.98590153255911,55,27
105,52.13153000000001,30.84587,5.156177043914795,51.18486,0.24236684,83.24748024311802,387,27
106,52.13879000000002,30.8443,5.156177043914795,51.317165,0.29495022,83.80848876302676,115,27
107,52.15028000000001,29.36554000000001,2.3192174434661865,29.214005,0.03388425,-17.599121509044718,46,59
108,52.15879000000002,30.836,4.208803653717041,51.189194,0.062151324,89.70856595411252,40,89
109,52.16818000000001,30.83172,4.208803653717041,50.811924,0.038319428,87.9850614337032,40,87
110,52.17958000000001,31.65348,4.458932876586914,81.77724,2.3813837,223.78999141846302,281,223
111,52.21766,29.509259999999998,2.503032922744751,14.833607,2.765027,-114.90680417716337,63,643
112,52.23070000000001,29.52873,2.9006187915802,18.711405,0.8772673000000001,-76.68440139200342,59,141
113,52.29434000000002,31.53165,6.927295684814452,42.925426,1.1748345,46.44705941305993,30,45
114,52.29890000000002,31.00102,3.3742024898529053,53.184303,3.93981,113.0622101134827,428,53
