ID#	Ra(deg)	Dec(deg)	Extinction	Magnetic_Field(uG)	TotalUpperBUncertainty	TotalLowerBUncertainty
123	52.52382000000001	30.603920000000002	2.3862595558166504	-111.37494319306715	84	236
124	52.53309000000001	30.548029999999997	3.7501380443573	-65.7756311374237	39	87
125	52.537940000000006	30.54715	3.7501380443573	-64.40739639112262	39	85
126	52.54026	31.4094	2.050169944763184	-422.39322680744567	172	116
127	52.57639000000001	30.92626	1.8935058116912842	-505.4899842584277	315	240
128	52.58012	31.77265	2.7736427783966064	-265.29975684695324	118	472
129	52.60245000000001	31.7878	2.980852127075196	-198.81003038328956	82	394
130	52.65380000000001	31.87367	2.556478500366211	-352.26326632443414	135	892
131	52.66157000000001	31.51275	2.186198472976685	-269.8593591053518	120	132
132	52.67073000000002	30.19187	0.7857041358947754	-1464.1738966973944	1463	942
133	52.74033000000002	31.568009999999997	3.2389278411865234	-78.00355531265349	63	80
134	52.75047000000001	31.368129999999997	1.928282618522644	-247.55326782611488	117	1314
135	52.79483000000002	31.65152	3.6945583820343018	-193.19028362491608	56	130
136	52.79718000000001	32.05842	1.4910933971405032	-359.71685378595595	262	250
137	52.80512	31.9214	1.653225302696228	3.1672137802811497	101	101
138	52.82475000000001	30.79208	2.852445602416992	37.910022030456474	65	54
139	52.82956000000001	30.79073	1.821968674659729	68.73300142336372	100	101
140	52.84279000000002	31.05725	1.9458383321762085	-202.47983996867015	126	1136
141	52.88883000000001	31.852959999999996	1.639056921005249	77.45591041432226	133	131
142	52.90963000000002	31.907290000000003	1.993356466293335	-51.801717141380045	88	109
143	52.91336	30.67597	2.1243054866790767	-156.0940268577989	113	86
144	52.914350000000006	30.67189	2.1243054866790767	-144.93539779908156	108	85
145	52.91863000000002	30.67545	2.1243054866790767	-154.20471641607904	111	85
146	52.97608000000001	31.07814	2.19769549369812	-398.43722731527635	205	183
147	53.03296000000001	30.43473	1.7818940877914429	-22.59173253400796	131	131
148	53.04498000000001	30.66222	2.2580280303955083	-4.34236602421008	84	84
149	53.06639000000002	31.75768	1.784237027168274	46.796605261599396	98	99
150	53.07485000000001	31.75597	1.6916640996932983	28.034887958942694	97	95
151	53.105150000000016	31.086759999999998	3.457828998565674	4.248499846331575	41	41
152	53.14973000000002	31.8378	1.7315526008605957	312.63444246726755	838	139
153	53.16704000000002	31.8621	1.4972474575042725	244.06784715646583	656	140
154	53.16751000000001	31.853009999999998	1.4972474575042725	256.30355767973373	689	143
155	53.16795000000001	31.833779999999997	1.6749823093414309	109.87981252001104	276	132
156	53.17493000000002	30.33564	2.270000457763672	-106.0985520940884	67	71
157	53.17950000000001	31.84918	1.4972474575042725	336.49697501000753	901	170
158	53.189960000000006	31.413079999999997	3.900543451309204	-2.6689885605755284	54	54
159	53.22401000000001	31.720340000000004	2.1664698123931885	0.4929318810749797	67	67
160	53.25366000000001	31.338440000000002	5.3209757804870605	-138.45562506801323	50	61
161	53.27499000000002	30.879070000000002	3.7426960468292236	-16.317837380293525	42	45
162	53.28603000000001	30.84678	2.2195489406585693	159.09059509742883	103	120
163	53.32389000000001	30.7891	2.908586263656616	-52.04843059420134	73	79
164	53.34784000000002	31.835990000000002	1.05868399143219	565.3384317938377	953	498
