ID#	Extinction_Index_x	Extinction_Index_y	Ra(deg)	Dec(deg)	Rotation_Measure(rad/m2)	RM_Err(rad/m2)	RA_inExtincFile(degree)	Dec_inExtincFile(degree)	Extinction_Value	Error_Range(pix)	Min_Extinction_Value	Min_Extinction_Ra	Min_Extinction_Dec	Max_Extinction_Value	Max_Extinction_RA	Max_Extinction_dec	Extinction_Observed
27	1061	300	49.646	28.26688888888889	22.0	3.4	49.641046948681065	28.26656000497808	3.116730213165283	1	2.3686013221740723	49.610345857055755	28.28710292812513	3.7855420112609863	49.645325842614575	28.243170098488516	True
28	1060	299	49.658791666666666	28.255055555555554	9.1	3.3	49.671737584745834	28.246009297411025	3.496593475341797	1	2.9831645488739014	49.693890981761044	28.27224020074197	4.090961933135986	49.64960226181225	28.219783332765658	True
29	1070	218	49.750416666666666	26.338055555555556	-3.5	16.2	49.751536196366565	26.336206570207	0.022864609956741333	1	0.022864609956741333	49.751536196366565	26.336206570207	0.8929194211959839	49.729900873066484	26.310501176900214	True
30	1023	494	49.837125	32.98897222222222	34.6	6.9	49.82569875830549	32.98239956136139	0.7855113744735718	1	0.14963454008102417	49.85384683688684	32.98567072881327	1.4718984365463257	49.79304863900161	33.00309674359135	True
31	1035	414	49.850375	31.02872222222222	62.3	9.6	49.84736398465907	31.033523264751608	1.306603193283081	1	0.9712705612182617	49.82432246286495	31.00666000943638	1.5254937410354614	49.842984318098814	31.057307494408985	True
32	1045	335	49.909416666666665	29.141277777777777	26.4	5.3	49.91721465728791	29.13382887130562	2.826709270477295	1	2.098832130432129	49.948230578336585	29.11315793332126	2.826709270477295	49.91721465728791	29.13382887130562	True
33	1034	400	49.925625	30.690583333333333	40.5	12.5	49.935729498688325	30.703820018688642	1.8474135398864746	1	0.5730209946632385	49.904061077653424	30.72453730779992	1.8474135398864746	49.935729498688325	30.703820018688642	True
34	1020	476	49.994708333333335	32.55858333333333	35.9	14.9	49.990273063178385	32.560711646249175	0.6749178171157837	1	0.4355989992618561	50.022712968256904	32.539949450649566	0.7876323461532593	49.96668916450692	32.53355797127839	True
35	1038	358	50.0095	29.687694444444446	59.2	14.6	50.00750944701363	29.69672495395472	2.6199889183044434	1	1.8086971044540405	49.98052763587341	29.693803377992925	2.843411445617676	50.034497647634616	29.6996415821074	True
36	1028	417	50.01283333333333	31.126055555555556	89.6	10.6	50.026549799635305	31.126393967483402	1.268833875656128	1	1.0831332206726074	50.0033922584623	31.099528884873965	1.5975838899612427	49.99471260198767	31.147146948671395	True
37	1013	508	50.0465	33.35033333333333	22.6	1.3	50.04537206130562	33.351127306060995	0.7669630646705627	1	0.41394758224487305	50.07370492024528	33.3543854822142	1.0734937191009521	50.049827288694445	33.32709769991129	True
38	1026	400	50.14720833333333	30.717916666666664	40.1	11.2	50.15456883775754	30.72790898068008	3.4995195865631104	1	1.8082640171051025	50.13147009599063	30.7011413297138	3.4995195865631104	50.15456883775754	30.72790898068008	True
39	1044	225	50.40629166666667	26.55575	5.7	16.7	50.3962201587719	26.565299350124324	1.085115909576416	1	0.7570026516914368	50.42618711648692	26.54464729086658	1.6843338012695312	50.37422177923353	26.539576539512606	True
40	985	544	50.68570833333333	34.308861111111106	55.2	4.9	50.68753137342186	34.30927424011078	1.2940202951431274	1	0.6507961750030518	50.71204944672365	34.33664647384688	1.5358946323394775	50.65437739563841	34.33023043067034	True
41	979	552	50.814166666666665	34.525888888888886	60.2	15.4	50.82638616762243	34.521910338412795	0.904881477355957	1	0.41373637318611145	50.85532753177281	34.525099072981696	1.382764220237732	50.79745170862299	34.51871529652738	True
42	1023	246	50.866708333333335	27.10011111111111	26.0	15.0	50.862228382958925	27.106696610142357	0.9695353507995605	1	0.5900052785873413	50.85834540262274	27.130024157306444	1.5021613836288452	50.89236239132816	27.085876326410034	True
43	969	537	51.17220833333333	34.17916666666667	48.0	4.4	51.17885726097249	34.190275379228005	1.0846015214920044	1	0.3609023094177246	51.2035805676352	34.217566130571896	1.3323110342025757	51.149984575302526	34.18718856646649	True
44	1000	312	51.22954166666667	28.70488888888889	-41.4	12.8	51.21757235368807	28.71458887359445	1.4872163534164429	1	1.0523771047592163	51.19457230203603	28.688383198749754	1.9245009422302246	51.21370879206343	28.73820486724647	True
